model_id,pool_class,base_mae_eV,expert_mae_eV,expert_delta_vs_base_eV,equal_average_mae_eV,equal_average_gain_vs_base_eV,oracle_mae_eV,oracle_gain_eV,expert_win_rate,mean_winning_margin_eV,median_winning_margin_eV,mean_losing_margin_eV,gain_p05_eV,gain_p50_eV,gain_p95_eV,residual_correlation_with_base,fold_oracle_gain_min_eV,fold_oracle_gain_max_eV,fold_oracle_gains_eV,pair_oracle_gate_pass
neural_atom_k1_edge_context_uniform_return,primary_k1_v4_lineage,0.14137364135205746,0.13959993986546992,-0.0017737014865875367,0.13450897065103054,0.00686467070102692,0.10818499959409236,0.0331886417579651,0.50708,0.06545050437399441,0.04367566108703613,0.06373233034037483,-0.14182333946228023,0.0009055137634277344,0.1431890010833739,0.842656667407891,0.0321672560572982,0.03376106789112092,"[0.03376106789112092, 0.03302210463913133, 0.03362676132060255, 0.03336585619659943, 0.0321672560572982]",True
neural_atom_k1_edge_read_norm,primary_k1_v4_lineage,0.14137364135205746,0.1417749535268545,0.0004013121747970527,0.13608747213065625,0.00528616922140121,0.10980628782212734,0.03156735352993012,0.49826,0.06335518309703791,0.04245805740356445,0.06371560111756522,-0.14069273471832275,-0.0002281665802001953,0.13883619308471662,0.8594054428439467,0.031089750862121596,0.03200923899561241,"[0.031089750862121596, 0.03200923899561241, 0.03197532140687756, 0.03154679233251895, 0.0312154161903853]",True
neural_atom_k1_functional_group_token,primary_k1_v4_lineage,0.14137364135205746,0.13983141676843167,-0.0015422245836257953,0.1347348106664419,0.006638830685615549,0.10843445713460445,0.03293918421745301,0.5052,0.065200285466059,0.043553829193115234,0.06345383919528538,-0.14061186313629148,0.0007035732269287109,0.14339485168457028,0.8512010786690732,0.03228479193362935,0.03321730626960592,"[0.033071713042259226, 0.03321730626960592, 0.03301657684897556, 0.03228479193362935, 0.033105344170449996]",True
neural_atom_k1_g,primary_k1_v4_lineage,0.14137364135205746,0.1452639518159628,0.0038903104639053387,0.13693785480439663,0.0044357865476608305,0.10965543849885463,0.03171820285320283,0.48192,0.06581632398157955,0.04491257667541504,0.06873168876835267,-0.15353763103485105,-0.0025322437286376953,0.1427805662155149,0.8481464853462435,0.030795635652542133,0.03235226503537403,"[0.030795635652542133, 0.03194077894662149, 0.031959902130476336, 0.03235226503537403, 0.031542433216753527]",True
neural_atom_k1_gpspp_bidirectional,primary_k1_v4_lineage,0.14137364135205746,0.14157917448461055,0.00020553313255308736,0.13515790427148341,0.006215737080574046,0.10756368199765683,0.033809959354400634,0.50142,0.06742842199034868,0.04591178894042969,0.06822474324472248,-0.14807980060577391,0.00019073486328125,0.14826724529266325,0.8404832274327653,0.033150091481208815,0.03428707742338111,"[0.033150091481208815, 0.033181958254320576, 0.034253532773744405, 0.0341774498040401, 0.03428707742338111]",True
neural_atom_k1_gpspp_sender,primary_k1_v4_lineage,0.14137364135205746,0.14296678972661495,0.0015931483745574848,0.13580205489814282,0.005571586453914645,0.10875881833016872,0.03261482302188874,0.49278,0.06618536268088951,0.04485511779785156,0.06744473855766212,-0.14900531768798828,-0.0010573863983154297,0.14421334266662597,0.8431251107289005,0.03190584453636944,0.033220431238105974,"[0.03276752490997316, 0.033220431238105974, 0.032553561603220774, 0.03190584453636944, 0.03262643779270839]",True
neural_atom_k1_h4,primary_k1_v4_lineage,0.14137364135205746,0.143228543843627,0.0018549024915695267,0.1362247761720419,0.0051488651800155605,0.1090297141546011,0.032343927197456365,0.4903,0.06596762634602561,0.044274330139160156,0.06709862990312722,-0.1511303186416626,-0.0014033317565917969,0.1430158376693724,0.8491216691869933,0.0321629990527906,0.0324991406440735,"[0.0324991406440735, 0.03238491371823682, 0.03223816598251979, 0.0321629990527906, 0.032434396778113564]",True
neural_atom_k1_inverse_return,primary_k1_v4_lineage,0.14137364135205746,0.14200413139283657,0.0006304900407791136,0.13566131403386592,0.005712327318191546,0.10903608534753323,0.03233755600452423,0.49656,0.06512315934534443,0.04398608207702637,0.06549075495689977,-0.14441447257995604,-0.00048804283142089844,0.14237029552459712,0.8434985530752128,0.03189936101436616,0.03293503421435963,"[0.03189936101436616, 0.0325704852688328, 0.03293503421435963, 0.032231508934347605, 0.03205118247999576]",True
neural_atom_k1_mose,primary_k1_v4_lineage,0.14137364135205746,0.14025451810777187,-0.0011191232442855914,0.13499764198958875,0.006375999362468715,0.10882576973855496,0.032547871613502505,0.506,0.06432385694368084,0.04311656951904297,0.06362094811582372,-0.14016361236572264,0.0008153915405273438,0.14327197074890136,0.8380642886818683,0.0320601913303727,0.032978766369819654,"[0.032978766369819654, 0.03294474654563316, 0.03250241339200735, 0.03225296939652214, 0.0320601913303727]",True
neural_atom_k1_mose_hidden_bn,primary_k1_v4_lineage,0.14137364135205746,0.14264645165860654,0.001272810306549077,0.13516011603295802,0.006213525319099439,0.10723431365907192,0.03413932769298554,0.49608,0.06881818999553607,0.04621720314025879,0.07027333306781752,-0.1545931577682495,-0.0005700588226318359,0.15200972557067868,0.8252192465784438,0.03384541604518891,0.034618556922547256,"[0.03384541604518891, 0.034618556922547256, 0.03437397709108331, 0.03398779927074588, 0.033870637858002206]",True
