target,feature,importance_gain,importance_split
homo,morgan_1905,4.9413599371910095,4
homo,morgan_1386,4.920857012271881,10
homo,morgan_924,4.91091737523675,11
homo,desc_NumAromaticCarbocycles,4.881700024008751,7
homo,morgan_1922,4.840334666892886,20
homo,morgan_486,4.795139044523239,7
homo,morgan_133,4.737108733505011,21
homo,morgan_231,4.665212959051132,12
homo,morgan_960,4.640764951705933,6
homo,morgan_1810,4.607415050268173,17
homo,morgan_1837,4.550221651792526,20
homo,morgan_1154,4.517593145370483,3
homo,desc_fr_hdrzine,4.509596019983292,10
homo,morgan_1766,4.506700076162815,9
homo,morgan_248,4.506400018930435,5
homo,morgan_1963,4.503890037536621,1
homo,morgan_1224,4.456629991531372,11
homo,morgan_1238,4.444004014134407,8
homo,morgan_1075,4.405181914567947,13
homo,morgan_94,4.342845883220434,12
homo,morgan_235,4.338293720036745,13
homo,morgan_1282,4.326656088232994,7
homo,morgan_1663,4.281832195818424,11
homo,morgan_876,4.2107431925833225,15
homo,morgan_647,4.179616034030914,5
homo,morgan_1415,4.1250200271606445,1
homo,morgan_562,4.095290839672089,11
homo,desc_fr_N_O,4.08781448379159,19
homo,morgan_836,4.0866110771894455,4
homo,morgan_287,3.998606849461794,14
homo,morgan_407,3.9686321020126343,5
homo,morgan_1475,3.9619166627526283,10
homo,morgan_480,3.9215609654784203,16
homo,morgan_371,3.9210139717906713,18
homo,morgan_136,3.904126077890396,4
homo,morgan_1754,3.8974838703870773,12
homo,desc_LabuteASA,3.8269485905766487,26
homo,morgan_1448,3.8235500380396843,12
homo,morgan_1604,3.649823948740959,3
homo,morgan_979,3.5843842029571533,8
homo,morgan_1954,3.548930136486888,18
homo,morgan_35,3.5081570148468018,7
homo,morgan_870,3.457533113658428,15
homo,morgan_74,3.3395601511001587,2
homo,morgan_1100,3.329918932169676,14
homo,desc_NumSaturatedHeterocycles,3.318509042263031,9
homo,desc_fr_epoxide,3.3106600642204285,7
homo,morgan_1357,3.2742669582366943,5
homo,morgan_879,3.228503003716469,10
homo,morgan_528,3.2251988872885704,12
homo,morgan_1459,3.219151735305786,2
homo,morgan_1199,3.217484999448061,10
homo,desc_NumAromaticRings,3.192045971751213,5
homo,desc_NumAtomStereoCenters,3.1355684883892536,12
homo,morgan_1076,3.1064489632844925,11
homo,morgan_1377,3.095709979534149,10
homo,morgan_323,3.070533961057663,8
homo,morgan_809,3.0651884600520134,14
homo,morgan_1457,3.0453500375151634,4
homo,morgan_1727,3.014885425567627,14
homo,morgan_1118,2.955514047294855,14
homo,morgan_820,2.9289810992777348,16
homo,morgan_2047,2.9278147369623184,10
homo,morgan_1973,2.9197196066379547,14
homo,morgan_1155,2.917642615735531,16
homo,morgan_599,2.904813699424267,9
homo,morgan_1066,2.8939064852893353,12
homo,morgan_980,2.838438928127289,3
homo,desc_fr_Ndealkylation1,2.837670687586069,16
homo,morgan_389,2.754065103828907,7
homo,desc_NumSaturatedCarbocycles,2.6835479885339737,7
homo,morgan_1017,2.6669069826602936,6
homo,morgan_52,2.652053389698267,14
homo,morgan_1447,2.634829968214035,2
homo,morgan_1589,2.58625016361475,7
homo,morgan_1445,2.583346962928772,8
homo,morgan_1855,2.5804429948329926,3
homo,morgan_471,2.5651725120842457,12
homo,morgan_1074,2.548896975815296,8
homo,morgan_500,2.5203270316123962,3
homo,morgan_1163,2.5116468518972397,15
homo,morgan_849,2.5093149840831757,8
homo,morgan_739,2.4962756112217903,7
homo,morgan_1035,2.4738100171089172,6
homo,morgan_718,2.4492448307573795,11
homo,morgan_1466,2.4477780163288116,7
homo,morgan_222,2.435417652130127,9
homo,morgan_1029,2.4145177602767944,5
homo,morgan_1959,2.3587601743638515,17
homo,morgan_1388,2.344421699643135,5
homo,morgan_652,2.342963993549347,10
homo,morgan_1422,2.327546902000904,9
homo,morgan_1172,2.3275124691426754,5
homo,morgan_1917,2.327273804694414,3
homo,morgan_305,2.3140669465065002,3
homo,morgan_474,2.2980776950716972,3
homo,morgan_1871,2.291968634352088,16
homo,morgan_1008,2.2775649167597294,17
homo,morgan_1950,2.2380320727825165,13
homo,morgan_1220,2.2380099073052406,16
homo,morgan_164,2.2373060286045074,6
homo,morgan_1236,2.2196610122919083,5
homo,morgan_363,2.2188981771469116,9
homo,morgan_1750,2.190652795135975,9
homo,morgan_31,2.1789803691208363,11
homo,morgan_1781,2.150168299674988,9
homo,morgan_1354,2.111355308443308,11
homo,morgan_1299,2.0843100547790527,1
homo,morgan_2021,2.0607461258769035,5
homo,morgan_1435,2.044340405613184,11
homo,morgan_1274,2.040346585214138,5
homo,desc_NumValenceElectrons,2.0116164460778236,7
homo,morgan_875,2.0065397024154663,10
homo,morgan_807,1.9944035932421684,8
homo,desc_Chi2v,1.9786332547664642,4
homo,morgan_289,1.9314138442277908,4
homo,morgan_844,1.9306432865560055,10
homo,morgan_593,1.9219825975596905,7
homo,morgan_1166,1.9142869040369987,9
homo,desc_fr_azo,1.9005499109625816,11
homo,morgan_827,1.8555652052164078,11
homo,morgan_337,1.8400965929031372,9
homo,morgan_950,1.8397829830646515,3
homo,morgan_747,1.82423996925354,1
homo,morgan_1778,1.8218459263443947,7
homo,desc_fr_amide,1.8144359588623047,2
homo,morgan_1792,1.8128580041229725,13
homo,morgan_1550,1.8008661791682243,7
homo,morgan_1031,1.788683794438839,15
homo,morgan_1607,1.7791439890861511,4
homo,morgan_160,1.7728021889925003,10
homo,desc_Chi4v,1.769854810088873,6
homo,morgan_549,1.7676248215138912,15
homo,morgan_968,1.7666503265500069,11
homo,morgan_1308,1.7619856968522072,4
homo,morgan_1846,1.7617868967354298,11
homo,morgan_1468,1.7599849998950958,4
homo,morgan_375,1.732826590538025,8
homo,morgan_540,1.7234072759747505,10
homo,morgan_1211,1.6906699929386377,11
homo,desc_fr_phenol_noOrthoHbond,1.6880199909210205,1
homo,morgan_523,1.681809976696968,4
homo,morgan_1849,1.679949015378952,7
homo,morgan_1975,1.6777049899101257,6
homo,desc_NumAliphaticCarbocycles,1.667911022901535,5
homo,morgan_1167,1.6599739491939545,5
homo,morgan_1760,1.6404148116707802,14
homo,morgan_189,1.6371585167944431,8
homo,morgan_2045,1.6247960925102234,10
homo,morgan_2,1.6075370088219643,11
homo,morgan_2033,1.579699993133545,1
homo,morgan_737,1.5736747272312641,7
homo,morgan_1535,1.5661989971995354,5
homo,morgan_724,1.5638290345668793,5
homo,morgan_310,1.559126004576683,8
homo,morgan_703,1.5571986958384514,9
homo,morgan_1570,1.5488345883786678,8
homo,morgan_1057,1.5412726253271103,2
homo,morgan_932,1.5404149889945984,2
homo,morgan_197,1.52933931350708,5
homo,morgan_795,1.527473121881485,7
homo,morgan_88,1.5225590914487839,13
homo,morgan_147,1.5178020000457764,2
homo,morgan_383,1.5156550481915474,2
homo,morgan_1271,1.4996114894747734,8
homo,morgan_410,1.499344289302826,4
homo,morgan_80,1.4947738721966743,6
homo,morgan_1063,1.4917319864034653,5
homo,morgan_884,1.4911271035671234,7
homo,morgan_1614,1.4844909831881523,9
homo,morgan_1472,1.483882311731577,8
homo,morgan_690,1.481711395084858,7
homo,morgan_1416,1.4660266302525997,3
homo,desc_fr_Ar_OH,1.4643559679389,3
homo,morgan_910,1.4562847316265106,6
homo,morgan_438,1.448069989681244,12
homo,morgan_750,1.4242550134658813,4
homo,morgan_1540,1.4049548953771591,10
homo,morgan_794,1.3767900466918945,1
homo,morgan_1077,1.373146004974842,5
homo,morgan_1442,1.3678807131946087,7
homo,morgan_418,1.3612270206212997,6
homo,morgan_1237,1.3517788797616959,9
homo,morgan_1597,1.3401196151971817,6
homo,morgan_1070,1.334776896983385,7
homo,morgan_1854,1.332273282110691,3
homo,morgan_453,1.3206860087811947,12
homo,morgan_1449,1.3121582195162773,4
homo,morgan_1696,1.3089075051248074,10
homo,morgan_333,1.2826905138790607,13
homo,morgan_926,1.2773009240627289,3
homo,morgan_1840,1.2767020016908646,5
homo,morgan_491,1.2659808173775673,6
homo,morgan_420,1.2597481831908226,12
homo,morgan_797,1.2461931817233562,10
homo,morgan_1659,1.2411415949463844,7
homo,morgan_387,1.2390269935131073,6
homo,morgan_1508,1.238286018371582,2
homo,morgan_1720,1.2290804982185364,8
homo,morgan_1027,1.2184975445270538,3
homo,morgan_13,1.2171530723571777,3
homo,morgan_1290,1.2145930081605911,4
homo,morgan_1971,1.1659218072891235,6
homo,morgan_1401,1.1628567036241293,11
homo,morgan_1981,1.156029999256134,3
homo,morgan_326,1.1532033141702414,16
homo,morgan_1028,1.1422045826911926,5
homo,morgan_1634,1.1288639046251774,11
homo,morgan_1389,1.1109077706933022,5
homo,morgan_327,1.1088600158691406,1
homo,desc_fr_Al_OH_noTert,1.1034753043204546,9
homo,morgan_1956,1.0945820361375809,3
homo,morgan_771,1.0942510068416595,3
homo,morgan_1708,1.0914451032876968,7
homo,morgan_1227,1.0888026915490627,7
homo,morgan_947,1.082663781940937,5
homo,morgan_1795,1.0716839954257011,6
homo,morgan_1338,1.0712588913738728,6
homo,morgan_1255,1.0663539916276932,7
homo,morgan_195,1.0591587126255035,2
homo,morgan_202,1.0509880036115646,3
homo,morgan_1295,1.0491923913359642,7
homo,morgan_1937,1.0403499603271484,1
homo,morgan_1297,1.039478799328208,10
homo,desc_NumSaturatedRings,1.0374065786600113,4
homo,morgan_1866,1.0339610874652863,3
homo,morgan_1985,1.0327660143375397,4
homo,morgan_1970,1.032170630991459,4
homo,morgan_21,1.0300428867340088,8
homo,desc_fr_unbrch_alkane,1.0294499918818474,3
homo,morgan_1982,1.0228924974799156,6
homo,morgan_1516,1.0110163912177086,5
homo,morgan_1965,1.0078519880771637,2
homo,morgan_102,1.0069899559020996,1
homo,morgan_92,1.001863181591034,2
homo,morgan_1964,0.9988775178790092,5
homo,morgan_1049,0.9955570101737976,2
homo,morgan_1488,0.9936709925532341,7
homo,morgan_34,0.9785260111093521,3
homo,morgan_1456,0.9785043895244598,10
homo,desc_fr_lactone,0.9783909171819687,6
homo,morgan_655,0.9736340343952179,2
homo,morgan_1353,0.9731936976313591,8
homo,morgan_33,0.9708119928836823,2
homo,morgan_1423,0.9698252007365227,8
homo,morgan_964,0.9558292999863625,11
homo,morgan_412,0.9557470083236694,5
homo,morgan_1309,0.9476120918989182,5
homo,morgan_1225,0.9332221001386642,6
homo,morgan_1610,0.9260789752006531,4
homo,morgan_1886,0.9233409762382507,3
homo,morgan_1599,0.9160345047712326,6
homo,morgan_2043,0.9156803917139769,9
homo,morgan_580,0.9098129868507385,3
homo,morgan_1213,0.9032700061798096,13
homo,morgan_1580,0.9003524854779243,6
homo,morgan_533,0.8977830111980438,3
homo,morgan_1452,0.8977690041065216,4
homo,morgan_325,0.8953490108251572,4
homo,morgan_1366,0.8888120055198669,2
homo,morgan_1104,0.8847057893872261,4
homo,morgan_1584,0.8827052935957909,11
homo,morgan_1706,0.8753850013017654,2
homo,morgan_984,0.8721102997660637,5
homo,morgan_1518,0.8710288032889366,3
homo,morgan_1911,0.8527236953377724,6
homo,morgan_2004,0.8505539894104004,3
homo,morgan_167,0.8468819819390774,5
homo,morgan_1400,0.8451820015907288,1
homo,morgan_1907,0.8419174998998642,10
homo,morgan_1940,0.8398299813270569,1
homo,morgan_1652,0.8355297893285751,8
homo,morgan_1528,0.8307649940252304,4
homo,morgan_1325,0.8243639916181564,2
homo,morgan_1862,0.8215535134077072,4
homo,morgan_1946,0.8176429867744446,1
homo,morgan_140,0.8160831965506077,5
homo,morgan_758,0.812891036272049,2
homo,morgan_695,0.8112069815397263,3
homo,morgan_1608,0.8072823993861675,7
homo,morgan_1095,0.790504015982151,8
homo,morgan_20,0.7879332974553108,8
homo,morgan_294,0.7848503887653351,2
homo,morgan_237,0.7833979725837708,1
homo,morgan_40,0.7749813869595528,10
homo,morgan_806,0.7694410011172295,3
homo,morgan_338,0.7643874958157539,6
homo,morgan_203,0.7636250033974648,4
homo,morgan_379,0.7475543990731239,8
homo,morgan_1162,0.7450326085090637,6
homo,morgan_2030,0.7397649884223938,2
homo,morgan_1286,0.7243459969758987,4
homo,morgan_667,0.7213069945573807,4
homo,morgan_1944,0.71732097864151,1
homo,morgan_11,0.7118650078773499,4
homo,morgan_416,0.7074289917945862,1
homo,desc_fr_Al_COO,0.7043159119784832,6
homo,morgan_475,0.7027669847011566,2
homo,morgan_1567,0.7023584023118019,9
homo,morgan_890,0.6989119872450829,3
homo,morgan_117,0.6979179978370667,1
homo,morgan_567,0.6907459013164043,7
homo,morgan_613,0.6904949843883514,2
homo,morgan_139,0.68547298386693,6
homo,morgan_1998,0.684378981590271,1
homo,morgan_1481,0.679489579051733,4
homo,morgan_1205,0.6744830049574375,8
homo,morgan_354,0.6725410223007202,1
homo,morgan_1116,0.6711400002241135,4
homo,morgan_490,0.6709832102060318,3
homo,morgan_130,0.6642559915781021,2
homo,morgan_832,0.6614847965538502,8
homo,desc_fr_piperdine,0.6610725298523903,3
homo,morgan_1420,0.659500103443861,5
homo,desc_Chi1v,0.6589824855327606,4
homo,morgan_2000,0.6545309945940971,4
homo,morgan_929,0.6541618071496487,8
homo,morgan_1588,0.6486400067806244,3
homo,morgan_841,0.6482895836234093,3
homo,morgan_503,0.6450880169868469,1
homo,desc_fr_ArN,0.6434060037136078,3
homo,morgan_1233,0.6385530233383179,1
homo,morgan_370,0.6266453042626381,7
homo,morgan_1269,0.6249459907412529,2
homo,desc_fr_ether,0.6215489953756332,2
homo,morgan_1218,0.620772197842598,5
homo,morgan_1869,0.6183611899614334,6
homo,morgan_1079,0.6131449937820435,1
homo,morgan_148,0.6125660091638565,2
homo,morgan_502,0.6086688973009586,6
homo,morgan_1382,0.6062679886817932,2
homo,morgan_318,0.6061330139636993,3
homo,morgan_1349,0.6051283031702042,5
homo,morgan_487,0.6030379980802536,4
homo,morgan_1424,0.6016132086515427,4
homo,morgan_894,0.598903015255928,5
homo,morgan_1797,0.595479104667902,5
homo,morgan_155,0.5932845994830132,8
homo,morgan_1712,0.5774988085031509,5
homo,morgan_615,0.5759699903428555,6
homo,morgan_1758,0.5743431001901627,5
homo,morgan_241,0.5702710151672363,1
homo,morgan_1348,0.5686424076557159,5
homo,morgan_611,0.5683269016444683,6
homo,morgan_961,0.5526130050420761,2
homo,morgan_944,0.5480120182037354,1
homo,morgan_143,0.545796599239111,10
homo,morgan_1196,0.5384859889745712,3
homo,morgan_1803,0.5377657059580088,7
homo,morgan_1498,0.5324473977088928,4
homo,morgan_558,0.5303499847650528,2
homo,morgan_1370,0.5300789028406143,8
homo,morgan_1651,0.5233477875590324,5
homo,morgan_1185,0.5216717906296253,6
homo,morgan_1936,0.5195206999778748,6
homo,morgan_1379,0.518401000648737,6
homo,morgan_2025,0.5115167014300823,6
homo,morgan_576,0.5114199928939342,7
homo,morgan_949,0.5073976926505566,6
homo,morgan_643,0.5059353969991207,5
homo,morgan_1715,0.5029547140002251,4
homo,morgan_547,0.5004974082112312,4
homo,morgan_1575,0.5002211965620518,5
homo,morgan_1387,0.49679259210824966,5
homo,morgan_1725,0.49671099334955215,6
homo,morgan_999,0.49489209800958633,7
homo,morgan_677,0.49154600501060486,1
homo,morgan_464,0.4846149981021881,1
homo,morgan_626,0.4846113920211792,4
homo,morgan_1524,0.48243799805641174,1
homo,morgan_1564,0.4820712022483349,4
homo,morgan_296,0.4799819886684418,3
homo,desc_fr_Al_OH,0.47610200196504593,3
homo,morgan_883,0.4758913889527321,2
homo,morgan_953,0.4657511040568352,3
homo,morgan_1816,0.4628390073776245,2
homo,morgan_2028,0.46040989458560944,5
homo,morgan_552,0.4602999985218048,1
homo,morgan_1001,0.45766619592905045,4
homo,morgan_555,0.45452889427542686,5
homo,morgan_466,0.4516320079565048,3
homo,morgan_1920,0.4506637006998062,4
homo,morgan_1071,0.44989360123872757,4
homo,morgan_1316,0.4498428963124752,6
homo,morgan_1142,0.44636300206184387,1
homo,morgan_1821,0.4402884989976883,4
homo,morgan_452,0.4396398030221462,5
homo,morgan_1429,0.4395473971962929,5
homo,morgan_313,0.4374510124325752,4
homo,morgan_2014,0.43610599637031555,2
homo,morgan_1531,0.43406350538134575,5
homo,morgan_1752,0.43406258523464203,2
homo,morgan_1746,0.4310716986656189,3
homo,morgan_1642,0.42734499275684357,2
homo,morgan_277,0.4262377992272377,5
homo,morgan_32,0.4239834025502205,5
homo,morgan_1431,0.418738704174757,5
homo,morgan_1574,0.41787900030612946,3
homo,morgan_1521,0.4177339971065521,1
homo,morgan_145,0.41477200388908386,2
homo,morgan_425,0.41310399770736694,2
homo,morgan_302,0.41192419826984406,8
