feature,total_gain
desc_fr_urea,10.0
morgan_105,10.0
desc_fr_amide,10.0
morgan_743,10.0
atompair_1300,10.0
atompair_1837,10.0
atompair_1813,10.0
morgan_305,10.0
torsion_1316,10.0
torsion_1292,10.0
morgan_1665,10.0
morgan_1476,10.0
torsion_956,10.0
morgan_1440,10.0
atompair_144,10.0
morgan_365,10.0
torsion_1876,10.0
morgan_368,10.0
morgan_960,10.0
torsion_428,9.0
torsion_449,9.0
torsion_405,9.0
torsion_732,9.0
torsion_736,9.0
torsion_752,9.0
desc_fr_C_O,9.0
torsion_652,9.0
torsion_1969,9.0
torsion_776,9.0
torsion_721,9.0
torsion_336,9.0
maccs_135,9.0
maccs_136,9.0
torsion_1697,9.0
torsion_888,9.0
morgan_1295,9.0
torsion_337,9.0
torsion_340,9.0
morgan_1324,9.0
desc_fr_hdrzine,9.0
morgan_281,9.0
maccs_64,9.0
desc_LabuteASA,9.0
morgan_1599,9.0
morgan_956,9.0
maccs_88,9.0
maccs_74,9.0
atompair_125,9.0
torsion_49,9.0
torsion_50,9.0
torsion_20,9.0
morgan_1012,9.0
torsion_944,9.0
torsion_232,9.0
torsion_76,9.0
torsion_14,9.0
morgan_367,9.0
torsion_1832,9.0
atompair_2016,9.0
morgan_984,9.0
morgan_617,9.0
torsion_1628,9.0
torsion_945,9.0
atompair_64,9.0
atompair_1256,9.0
morgan_189,9.0
atompair_1151,9.0
morgan_916,9.0
morgan_186,9.0
torsion_1160,9.0
torsion_1144,9.0
torsion_1620,9.0
maccs_85,9.0
atompair_464,9.0
torsion_1800,9.0
morgan_1800,9.0
atompair_1812,9.0
torsion_1540,9.0
torsion_1256,9.0
morgan_321,9.0
morgan_1724,9.0
torsion_1764,9.0
atompair_803,9.0
atompair_829,9.0
atompair_1360,9.0
maccs_51,9.0
morgan_737,9.0
morgan_304,9.0
morgan_1184,9.0
torsion_436,9.0
torsion_548,9.0
morgan_84,9.0
torsion_553,9.0
atompair_666,9.0
desc_fr_Al_COO,9.0
morgan_1238,8.0
torsion_604,8.0
morgan_137,8.0
torsion_696,8.0
torsion_1045,8.0
torsion_992,8.0
morgan_1245,8.0
morgan_1991,8.0
atompair_1033,8.0
morgan_1909,8.0
atompair_205,8.0
atompair_212,8.0
morgan_265,8.0
atompair_2017,8.0
atompair_2036,8.0
atompair_1032,8.0
atompair_1374,8.0
desc_SlogP_VSA7,8.0
torsion_785,8.0
torsion_817,8.0
maccs_83,8.0
atompair_1448,8.0
torsion_369,8.0
desc_fr_N_O,8.0
atompair_1245,8.0
atompair_1460,8.0
morgan_702,8.0
atompair_1244,8.0
morgan_728,8.0
torsion_1480,8.0
morgan_1984,8.0
atompair_1496,8.0
morgan_31,8.0
atompair_285,8.0
torsion_1984,8.0
morgan_313,8.0
morgan_1653,8.0
torsion_1325,8.0
morgan_896,8.0
morgan_1657,8.0
maccs_95,8.0
torsion_1717,8.0
morgan_160,8.0
torsion_44,8.0
torsion_5,8.0
atompair_1088,8.0
morgan_790,8.0
atompair_376,8.0
morgan_583,8.0
morgan_1788,8.0
morgan_1747,8.0
morgan_1746,8.0
desc_MolWt,8.0
torsion_1401,8.0
torsion_1389,8.0
morgan_181,8.0
morgan_949,8.0
morgan_1640,8.0
atompair_896,8.0
morgan_1573,8.0
morgan_937,8.0
morgan_1485,8.0
morgan_214,8.0
morgan_635,8.0
desc_NOCount,8.0
torsion_1344,8.0
atompair_1636,8.0
atompair_942,8.0
torsion_2013,8.0
atompair_597,8.0
torsion_2012,8.0
torsion_2008,8.0
atompair_856,8.0
morgan_498,8.0
torsion_589,8.0
maccs_123,8.0
morgan_104,8.0
morgan_1154,8.0
torsion_414,8.0
atompair_713,8.0
atompair_933,8.0
maccs_102,8.0
morgan_816,8.0
morgan_1707,8.0
morgan_1648,8.0
desc_fr_aryl_methyl,8.0
torsion_480,8.0
torsion_437,8.0
desc_fr_morpholine,8.0
morgan_1358,8.0
atompair_96,8.0
torsion_1842,8.0
morgan_489,8.0
morgan_242,8.0
desc_MaxEStateIndex,8.0
morgan_1837,8.0
maccs_132,8.0
atompair_1169,8.0
morgan_482,8.0
torsion_1572,7.0
atompair_596,7.0
morgan_2030,7.0
atompair_801,7.0
atompair_756,7.0
atompair_992,7.0
torsion_1872,7.0
atompair_1192,7.0
morgan_1907,7.0
torsion_1729,7.0
torsion_1497,7.0
torsion_1501,7.0
atompair_1340,7.0
morgan_134,7.0
morgan_446,7.0
torsion_625,7.0
morgan_1255,7.0
atompair_496,7.0
desc_fr_Imine,7.0
torsion_1009,7.0
atompair_748,7.0
desc_Chi1,7.0
atompair_456,7.0
morgan_1259,7.0
morgan_910,7.0
morgan_687,7.0
atompair_1492,7.0
torsion_1712,7.0
atompair_1424,7.0
morgan_81,7.0
maccs_143,7.0
atompair_541,7.0
morgan_1418,7.0
morgan_464,7.0
morgan_1014,7.0
torsion_248,7.0
torsion_1348,7.0
torsion_1384,7.0
torsion_1749,7.0
torsion_1145,7.0
torsion_1532,7.0
morgan_486,7.0
morgan_860,7.0
morgan_1808,7.0
atompair_368,7.0
morgan_929,7.0
maccs_103,7.0
morgan_202,7.0
morgan_876,7.0
morgan_147,7.0
morgan_557,7.0
morgan_1571,7.0
atompair_1844,7.0
morgan_1791,7.0
torsion_1400,7.0
