target,feature,feature_type,coef,abs_coef,abs_coef_norm
gap,morgan_1907,morgan,-0.000703539582900703,0.000703539582900703,1.911247818497941e-05
gap,morgan_62,morgan,0.0006969936657696962,0.0006969936657696962,1.893465014290996e-05
gap,morgan_148,morgan,0.0006961107137612998,0.0006961107137612998,1.89106631296454e-05
gap,morgan_109,morgan,0.0006898852880112827,0.0006898852880112827,1.8741542589850724e-05
gap,morgan_1338,morgan,-0.0006828241748735309,0.0006828241748735309,1.8549719243310392e-05
gap,morgan_1865,morgan,0.0006671492592431605,0.0006671492592431605,1.8123892004950903e-05
gap,morgan_1453,morgan,-0.0006565147778019309,0.0006565147778019309,1.7834992831922136e-05
gap,morgan_1341,morgan,-0.0006538432207889855,0.0006538432207889855,1.776241697371006e-05
gap,morgan_137,morgan,-0.0006495573907159269,0.0006495573907159269,1.7645987099967897e-05
gap,morgan_941,morgan,-0.0006491509266197681,0.0006491509266197681,1.7634945834288374e-05
gap,morgan_291,morgan,-0.0006463027675636113,0.0006463027675636113,1.7557571482029743e-05
gap,morgan_1158,morgan,0.0006189061095938087,0.0006189061095938087,1.6813310139696114e-05
gap,morgan_462,morgan,0.000616974662989378,0.000616974662989378,1.676083957136143e-05
gap,morgan_347,morgan,-0.0006159953773021698,0.0006159953773021698,1.6734236851334572e-05
gap,morgan_242,morgan,0.0006092286203056574,0.0006092286203056574,1.6550409782212228e-05
gap,morgan_550,morgan,0.0006073594558984041,0.0006073594558984041,1.649963087402284e-05
gap,morgan_421,morgan,0.000601119187194854,0.000601119187194854,1.6330106518580578e-05
gap,morgan_978,morgan,0.0005806323606520891,0.0005806323606520891,1.577355942572467e-05
gap,morgan_274,morgan,-0.0005790475988760591,0.0005790475988760591,1.5730507584521547e-05
gap,morgan_373,morgan,0.0005757462931796908,0.0005757462931796908,1.564082231197972e-05
gap,morgan_1930,morgan,-0.0005632912507280707,0.0005632912507280707,1.5302466636057943e-05
gap,morgan_868,morgan,0.0005590264336206019,0.0005590264336206019,1.5186608834483195e-05
gap,morgan_1167,morgan,0.0005585044273175299,0.0005585044273175299,1.517242708359845e-05
gap,morgan_382,morgan,0.0005558041157200933,0.0005558041157200933,1.509906996943755e-05
gap,morgan_426,morgan,-0.0005536372191272676,0.0005536372191272676,1.504020383436e-05
gap,morgan_832,morgan,0.0005498709506355226,0.0005498709506355226,1.4937889318389352e-05
gap,morgan_263,morgan,0.0005483697168529034,0.0005483697168529034,1.489710575697245e-05
gap,morgan_1921,morgan,0.0005437650834210217,0.0005437650834210217,1.4772015674680006e-05
gap,morgan_1283,morgan,0.0005406255950219929,0.0005406255950219929,1.468672780902125e-05
gap,morgan_646,morgan,-0.0005326716927811503,0.0005326716927811503,1.4470650967268739e-05
gap,desc_fr_quatN,rdkit_desc,0.0005256809527054429,0.0005256809527054429,1.4280739378591534e-05
gap,morgan_605,morgan,-0.0005251063848845661,0.0005251063848845661,1.4265130630519707e-05
gap,morgan_419,morgan,-0.0005150762153789401,0.0005150762153789401,1.3992649655847345e-05
gap,morgan_338,morgan,0.0005085609736852348,0.0005085609736852348,1.3815654710924719e-05
gap,morgan_1253,morgan,0.000503287126775831,0.000503287126775831,1.3672384739038534e-05
gap,morgan_1730,morgan,0.0004924825043417513,0.0004924825043417513,1.3378864423430059e-05
gap,morgan_1191,morgan,-0.0004781092575285584,0.0004781092575285584,1.2988398339075502e-05
gap,morgan_103,morgan,0.00047382089542225003,0.00047382089542225003,1.2871900253230706e-05
gap,morgan_1088,morgan,-0.00047138266381807625,0.00047138266381807625,1.2805662663595285e-05
gap,morgan_475,morgan,-0.00045173682156018913,0.00045173682156018913,1.227196025865851e-05
gap,morgan_277,morgan,0.000448548118583858,0.000448548118583858,1.2185335435788147e-05
gap,morgan_748,morgan,-0.000445943558588624,0.000445943558588624,1.2114579476474319e-05
gap,morgan_1192,morgan,-0.00043972028652206063,0.00043972028652206063,1.1945517144340556e-05
gap,morgan_739,morgan,-0.0004301583976484835,0.0004301583976484835,1.1685757272061892e-05
gap,morgan_1575,morgan,-0.0003918901493307203,0.0003918901493307203,1.0646155715221539e-05
gap,morgan_72,morgan,-0.00038900593062862754,0.00038900593062862754,1.05678018371691e-05
gap,morgan_969,morgan,-0.0003786862944252789,0.0003786862944252789,1.0287457371305209e-05
gap,morgan_1913,morgan,0.00037281669210642576,0.00037281669210642576,1.0128002031706274e-05
gap,morgan_949,morgan,0.0003701475798152387,0.0003701475798152387,1.0055492566607427e-05
gap,morgan_1605,morgan,0.00036564114270731807,0.00036564114270731807,9.933070032275282e-06
gap,morgan_1911,morgan,-0.0003580707125365734,0.0003580707125365734,9.727410542836878e-06
gap,morgan_561,morgan,0.000355424388544634,0.000355424388544634,9.655520443629939e-06
gap,morgan_1953,morgan,-0.0003536442818585783,0.0003536442818585783,9.60716170084197e-06
gap,morgan_1806,morgan,0.0003487574867904186,0.0003487574867904186,9.474406397202983e-06
gap,morgan_1742,morgan,0.000346522981999442,0.000346522981999442,9.413703082827851e-06
gap,morgan_1938,morgan,0.00034642472746782005,0.00034642472746782005,9.411033715878148e-06
gap,morgan_888,morgan,0.0003447567578405142,0.0003447567578405142,9.365721780341119e-06
gap,morgan_1129,morgan,0.00033503936720080674,0.00033503936720080674,9.101737305172719e-06
gap,morgan_844,morgan,-0.0003277788346167654,0.0003277788346167654,8.904496098693926e-06
gap,morgan_626,morgan,-0.000327165296766907,0.000327165296766907,8.887828698789235e-06
gap,morgan_316,morgan,0.0003197642508894205,0.0003197642508894205,8.686770343047101e-06
gap,morgan_1426,morgan,-0.0003174346929881722,0.0003174346929881722,8.623485882708337e-06
gap,morgan_1005,morgan,-0.00031163927633315325,0.00031163927633315325,8.466045983368531e-06
gap,morgan_1456,morgan,-0.00030237832106649876,0.00030237832106649876,8.214461558964103e-06
gap,morgan_1119,morgan,-0.0002934438525699079,0.0002934438525699079,7.971746526891366e-06
gap,morgan_1886,morgan,0.00028897495940327644,0.00028897495940327644,7.850343536119908e-06
gap,morgan_1143,morgan,-0.0002873826597351581,0.0002873826597351581,7.807087058608886e-06
gap,morgan_1662,morgan,-0.00027680679340846837,0.00027680679340846837,7.519780865550274e-06
gap,morgan_898,morgan,0.0002678856544662267,0.0002678856544662267,7.277427812368842e-06
gap,morgan_1952,morgan,0.00026692275423556566,0.00026692275423556566,7.2512693805038e-06
gap,morgan_178,morgan,0.0002631759853102267,0.0002631759853102267,7.149484190449584e-06
gap,morgan_604,morgan,-0.00026277636061422527,0.00026277636061422527,7.138628006941872e-06
gap,morgan_1597,morgan,0.0002604070177767426,0.0002604070177767426,7.074261702655349e-06
gap,morgan_293,morgan,0.0002591197844594717,0.0002591197844594717,7.039292540866882e-06
gap,morgan_1198,morgan,-0.0002586405025795102,0.0002586405025795102,7.026272669463651e-06
gap,morgan_429,morgan,0.00023536445223726332,0.00023536445223726332,6.393951480276883e-06
gap,morgan_410,morgan,0.00022814642579760402,0.00022814642579760402,6.197865332069341e-06
gap,morgan_982,morgan,0.00022628337319474667,0.00022628337319474667,6.14725331615773e-06
gap,morgan_1468,morgan,0.00021895632380619645,0.00021895632380619645,5.948205398453865e-06
