target,feature,feature_type,importance_gain,importance_split,importance_gain_norm,importance_split_norm
homo,desc_Chi3n,rdkit_desc,18.997438453137875,59,0.0006849279463310735,0.003933333333333333
homo,desc_NumAromaticHeterocycles,rdkit_desc,18.798790998756886,10,0.0006777659706095207,0.0006666666666666666
homo,morgan_186,morgan,18.537495881319046,13,0.0006683453148398227,0.0008666666666666666
homo,desc_Ipc,rdkit_desc,18.228291887789965,54,0.0006571973668252702,0.0036
homo,desc_SMR_VSA9,rdkit_desc,17.965879641473293,40,0.0006477364344261386,0.0026666666666666666
homo,morgan_442,morgan,17.925753742456436,16,0.0006462897473016561,0.0010666666666666667
homo,desc_fr_Nhpyrrole,rdkit_desc,17.265080507844687,4,0.0006224700327177781,0.0002666666666666667
homo,morgan_1087,morgan,17.21121369674802,32,0.0006205279348717523,0.0021333333333333334
homo,desc_fr_pyridine,rdkit_desc,17.14387545734644,13,0.0006181001421913526,0.0008666666666666666
homo,morgan_674,morgan,17.036516845226288,6,0.0006142294669999683,0.0004
homo,morgan_95,morgan,16.957952750846744,11,0.0006113969407122017,0.0007333333333333333
homo,desc_NumHeterocycles,rdkit_desc,16.904120571911335,16,0.0006094560914837276,0.0010666666666666667
homo,desc_ExactMolWt,rdkit_desc,16.889802362769842,5,0.0006089398670671247,0.0003333333333333333
homo,desc_fr_ketone_Topliss,rdkit_desc,16.87289898842573,31,0.0006083304378799142,0.0020666666666666667
homo,desc_fr_para_hydroxylation,rdkit_desc,16.786334393545985,44,0.0006052094639474432,0.0029333333333333334
homo,desc_PEOE_VSA13,rdkit_desc,16.212801977992058,21,0.0005845314983096723,0.0014
homo,desc_HeavyAtomMolWt,rdkit_desc,15.761667419224977,48,0.0005682664282783875,0.0032
homo,morgan_1722,morgan,15.70141377300024,25,0.0005660940613948485,0.0016666666666666668
homo,morgan_1783,morgan,15.609309256076813,6,0.0005627733527751156,0.0004
homo,desc_Phi,rdkit_desc,15.517426487058401,57,0.0005594606389878209,0.0038
homo,desc_fr_benzene,rdkit_desc,15.387751661241055,2,0.0005547853817231634,0.00013333333333333334
homo,morgan_1101,morgan,15.111738294363022,10,0.0005448340786039542,0.0006666666666666666
homo,morgan_432,morgan,14.802914194762707,12,0.0005336998271711328,0.0008
homo,desc_fr_Ar_COO,rdkit_desc,14.540633857250214,11,0.0005242436505724515,0.0007333333333333333
homo,morgan_1480,morgan,14.197560153901577,7,0.0005118745742017386,0.00046666666666666666
homo,morgan_14,morgan,13.862689942121506,11,0.0004998012640548071,0.0007333333333333333
homo,morgan_1344,morgan,13.507397010922432,20,0.00048699163930921764,0.0013333333333333333
homo,morgan_881,morgan,12.972183533012867,13,0.0004676952131527344,0.0008666666666666666
homo,morgan_1409,morgan,12.888309955596924,3,0.00046467126035653765,0.0002
homo,morgan_644,morgan,12.787808064371347,22,0.00046104779532311614,0.0014666666666666667
homo,morgan_1195,morgan,12.422772243618965,2,0.00044788690336065737,0.00013333333333333334
homo,morgan_1856,morgan,12.286894112825394,17,0.000442987993999518,0.0011333333333333334
homo,morgan_1697,morgan,11.987928243353963,32,0.0004322091682380729,0.0021333333333333334
homo,desc_fr_tetrazole,rdkit_desc,11.599860936403275,7,0.0004182179059821837,0.00046666666666666666
homo,morgan_1004,morgan,11.413148321211338,23,0.0004114862253720332,0.0015333333333333334
homo,desc_SlogP_VSA3,rdkit_desc,11.190027941018343,37,0.0004034419101256819,0.0024666666666666665
homo,morgan_1088,morgan,11.084714345633984,10,0.00039964496535413896,0.0006666666666666666
homo,desc_NumAliphaticHeterocycles,rdkit_desc,10.970535293221474,13,0.00039552838805473935,0.0008666666666666666
homo,desc_fr_nitro_arom_nonortho,rdkit_desc,10.923839926719666,4,0.00039384484732054225,0.0002666666666666667
homo,morgan_1926,morgan,10.827826112508774,9,0.0003903831940692842,0.0006
homo,desc_fr_ester,rdkit_desc,10.760034937411547,20,0.0003879390713812044,0.0013333333333333333
homo,desc_fr_NH1,rdkit_desc,10.458844356238842,14,0.000377080036531545,0.0009333333333333333
homo,desc_PEOE_VSA12,rdkit_desc,9.983466669917107,24,0.0003599409120528876,0.0016
homo,morgan_656,morgan,9.843572217971087,16,0.0003548971994539044,0.0010666666666666667
homo,desc_MolWt,rdkit_desc,9.791786331683397,31,0.00035303012664661745,0.0020666666666666667
homo,morgan_381,morgan,9.609486363828182,21,0.0003464575382996517,0.0014
homo,morgan_1969,morgan,9.591015964746475,13,0.0003457916120726946,0.0008666666666666666
homo,morgan_1984,morgan,9.26974481344223,12,0.00033420859837213484,0.0008
homo,desc_Chi1,rdkit_desc,9.179101882502437,56,0.0003309405853349473,0.0037333333333333333
homo,desc_Kappa1,rdkit_desc,9.128175839781761,54,0.00032910451306965305,0.0036
homo,morgan_119,morgan,9.01265013217926,3,0.00032493938386806033,0.0002
homo,desc_fr_piperzine,rdkit_desc,8.921188831329346,5,0.0003216418655676627,0.0003333333333333333
homo,morgan_488,morgan,8.71139408648014,9,0.00031407798878000645,0.0006
homo,morgan_1791,morgan,8.622922837734222,6,0.00031088827292108346,0.0004
homo,desc_Chi0,rdkit_desc,8.541554223746061,35,0.00030795463332476664,0.0023333333333333335
homo,morgan_1164,morgan,8.408590316772461,1,0.0003031607925148999,6.666666666666667e-05
homo,morgan_121,morgan,8.351167030632496,13,0.0003010904705846856,0.0008666666666666666
homo,morgan_456,morgan,8.12697696685791,5,0.0002930075892874128,0.0003333333333333333
homo,morgan_368,morgan,8.027563996613026,15,0.0002894233838843283,0.001
homo,desc_Chi0v,rdkit_desc,8.026763930916786,3,0.0002893945385557538,0.0002
homo,morgan_790,morgan,8.026562094688416,5,0.0002893872616129315,0.0003333333333333333
homo,morgan_191,morgan,7.971826985478401,11,0.0002874138584072362,0.0007333333333333333
homo,morgan_251,morgan,7.852079093456268,14,0.00028309650383532826,0.0009333333333333333
homo,morgan_180,morgan,7.815528035163879,16,0.00028177870294579315,0.0010666666666666667
homo,morgan_1005,morgan,7.7292874455451965,17,0.00027866941060179567,0.0011333333333333334
homo,morgan_352,morgan,7.507777344435453,14,0.0002706831518743921,0.0009333333333333333
homo,morgan_1334,morgan,7.47291412204504,14,0.0002694262037140781,0.0009333333333333333
homo,morgan_753,morgan,7.378620147705078,1,0.000266026557053536,6.666666666666667e-05
homo,morgan_1894,morgan,7.223018012940884,13,0.00026041652437088414,0.0008666666666666666
homo,morgan_2009,morgan,7.09377484023571,6,0.0002557568297980274,0.0004
homo,morgan_1687,morgan,6.9505278412252665,14,0.00025059224547302293,0.0009333333333333333
homo,morgan_918,morgan,6.5537979528307915,11,0.00023628866510472853,0.0007333333333333333
homo,desc_NumRotatableBonds,rdkit_desc,6.504968553781509,26,0.0002345281846013225,0.0017333333333333333
homo,morgan_680,morgan,6.460086822509766,19,0.00023291003212757883,0.0012666666666666666
homo,morgan_69,morgan,6.439679875969887,14,0.00023217428619957248,0.0009333333333333333
homo,desc_fr_aryl_methyl,rdkit_desc,6.439132913947105,19,0.00023215456619490402,0.0012666666666666666
homo,morgan_1126,morgan,6.40325478464365,15,0.00023086102688524212,0.001
homo,desc_fr_imide,rdkit_desc,6.303168892860413,4,0.00022725256017090548,0.0002666666666666667
homo,morgan_1391,morgan,6.279729567468166,16,0.00022640748576553766,0.0010666666666666667
homo,morgan_1152,morgan,6.201134778559208,11,0.00022357385282641658,0.0007333333333333333
homo,desc_fr_ketone,rdkit_desc,6.197655007243156,11,0.00022344839419539722,0.0007333333333333333
homo,desc_NumSpiroAtoms,rdkit_desc,6.1684299521148205,12,0.00022239472282597336,0.0008
homo,morgan_270,morgan,5.945718020200729,10,0.00021436513365132606,0.0006666666666666666
homo,morgan_1410,morgan,5.808676451444626,13,0.0002094242780469431,0.0008666666666666666
homo,morgan_2029,morgan,5.765332862734795,15,0.00020786158130364928,0.001
homo,morgan_1953,morgan,5.760094702243805,9,0.00020767272623687297,0.0006
homo,morgan_1742,morgan,5.68024905025959,6,0.0002047939950557236,0.0004
homo,morgan_1794,morgan,5.652460873126984,5,0.00020379212845446208,0.0003333333333333333
homo,morgan_1573,morgan,5.624514423310757,7,0.00020278455553735067,0.00046666666666666666
homo,desc_NumAliphaticRings,rdkit_desc,5.608618937432766,15,0.00020221146445850848,0.001
homo,morgan_1825,morgan,5.501804661005735,16,0.0001983604145828911,0.0010666666666666667
homo,desc_fr_C_O_noCOO,rdkit_desc,5.323205031454563,7,0.00019192123712295466,0.00046666666666666666
homo,morgan_1863,morgan,5.306340128183365,5,0.00019131319496026479,0.0003333333333333333
homo,morgan_1146,morgan,5.1058915592730045,13,0.00018408628239584488,0.0008666666666666666
homo,morgan_330,morgan,5.037020206451416,1,0.00018160321530416855,6.666666666666667e-05
homo,desc_NumUnspecifiedAtomStereoCenters,rdkit_desc,4.957491233944893,20,0.0001787359015898969,0.0013333333333333333
homo,morgan_694,morgan,4.95697794854641,8,0.00017871739575213715,0.0005333333333333334
homo,morgan_1039,morgan,4.9553816840052605,14,0.00017865984450928578,0.0009333333333333333
homo,morgan_1905,morgan,4.9413599371910095,4,0.00017815430865648386,0.0002666666666666667
homo,morgan_1386,morgan,4.920857012271881,10,0.00017741510235278773,0.0006666666666666666
